,Inhibitory neurons,Granule neurons,ENS neurons,Smooth muscle cells,Vascular endothelial cells,Stromal cells,Ciliated epithelial cells,Bronchiolar and alveolar epithelial cells,STC2_TLX1 positive cells,Syncytiotrophoblasts and villous cytotrophoblasts,Excitatory neurons,Erythroblasts
TFORF1008-ZNF544,0.07142857142857142,0.0,0.0,0.21428571428571427,0.0,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.21428571428571427,0.0,0.0,0.07142857142857142
TFORF1144-HOXA7,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.15789473684210525,0.05263157894736842,0.15789473684210525,0.3157894736842105,0.0,0.0,0.21052631578947367
TFORF2850-HMGA2,0.125,0.0,0.0,0.0625,0.0,0.125,0.25,0.125,0.0,0.0,0.0,0.3125
TFORF2414-ZNF268,0.13333333333333333,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667
TFORF0272-TCF7,0.06666666666666667,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.2,0.0,0.0,0.13333333333333333
TFORF1569-ZNF680,0.0,0.0,0.0,0.125,0.0,0.125,0.1875,0.125,0.125,0.0,0.0,0.3125
TFORF1636-HOXC13,0.05263157894736842,0.0,0.0,0.5263157894736842,0.0,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.0,0.0,0.0
TFORF1830-ZNF717,0.15789473684210525,0.0,0.0,0.15789473684210525,0.0,0.10526315789473684,0.05263157894736842,0.15789473684210525,0.10526315789473684,0.0,0.0,0.2631578947368421
TFORF1767-ZNF22,0.058823529411764705,0.0,0.0,0.11764705882352941,0.0,0.058823529411764705,0.23529411764705882,0.29411764705882354,0.17647058823529413,0.0,0.0,0.058823529411764705
TFORF0638-HOXC6,0.2727272727272727,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.18181818181818182,0.0,0.0,0.36363636363636365
TFORF0371-NFYC,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.2,0.3333333333333333,0.0,0.0,0.26666666666666666
TFORF3149-ZNF254,0.11764705882352941,0.0,0.0,0.23529411764705882,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.0,0.058823529411764705,0.0,0.17647058823529413
TFORF0945-LMO3,0.15789473684210525,0.0,0.05263157894736842,0.05263157894736842,0.0,0.10526315789473684,0.21052631578947367,0.05263157894736842,0.21052631578947367,0.05263157894736842,0.0,0.10526315789473684
TFORF0970-ZNF124,0.13333333333333333,0.0,0.0,0.2,0.0,0.06666666666666667,0.13333333333333333,0.2,0.13333333333333333,0.0,0.0,0.13333333333333333
TFORF3372-DAXX,0.058823529411764705,0.0,0.0,0.29411764705882354,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.0,0.29411764705882354,0.0,0.0,0.0
TFORF2644-PAX3,0.058823529411764705,0.0,0.0,0.11764705882352941,0.0,0.058823529411764705,0.17647058823529413,0.35294117647058826,0.23529411764705882,0.0,0.0,0.0
TFORF1747-ZNF761,0.2,0.0,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.0,0.26666666666666666,0.2,0.0,0.0,0.06666666666666667
TFORF0653-NR1I3,0.16666666666666666,0.0,0.0,0.25,0.0,0.0,0.0,0.3333333333333333,0.08333333333333333,0.0,0.0,0.16666666666666666
TFORF0309-CREM,0.07692307692307693,0.0,0.0,0.3076923076923077,0.0,0.07692307692307693,0.15384615384615385,0.0,0.0,0.0,0.0,0.38461538461538464
TFORF0858-VSX1,0.125,0.0,0.0625,0.0,0.0,0.0,0.25,0.0625,0.25,0.0,0.0,0.25
TFORF2666-ZBED3,0.2727272727272727,0.0,0.0,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.18181818181818182
TFORF2243-LITAF,0.07142857142857142,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.07142857142857142,0.2857142857142857,0.14285714285714285,0.0,0.0,0.14285714285714285
TFORF2141-ZNF525,0.16666666666666666,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.0,0.3333333333333333
TFORF2439-YEATS4,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.45454545454545453
TFORF2171-BHLHE23,0.09090909090909091,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.0,0.2727272727272727
TFORF2169-BLZF1,0.11764705882352941,0.0,0.058823529411764705,0.11764705882352941,0.0,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.29411764705882354,0.0,0.058823529411764705,0.0
TFORF2450-MLLT10,0.11764705882352941,0.0,0.058823529411764705,0.0,0.0,0.0,0.23529411764705882,0.11764705882352941,0.23529411764705882,0.0,0.0,0.23529411764705882
TFORF0847-YBX3,0.10526315789473684,0.0,0.0,0.21052631578947367,0.0,0.0,0.10526315789473684,0.21052631578947367,0.05263157894736842,0.05263157894736842,0.0,0.2631578947368421
TFORF1241-LBX2,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.0,0.0,0.07142857142857142
TFORF0078-KCNIP4,0.21428571428571427,0.0,0.14285714285714285,0.07142857142857142,0.0,0.0,0.14285714285714285,0.21428571428571427,0.14285714285714285,0.0,0.0,0.07142857142857142
