,TF,batch,louvain,n_counts,n_genes,percent_mito,dpt_pseudotime,discrete_time,split,cell_type,Cluster Enriched TFs_colors,highlight_celltype,Depth_from_root,Cluster Enriched TFs,velocity_self_transition,condition,condition_counts,clusters_gradients,terminal_states,terminal_states_probs,member_12-1_absorption,member_11-1_absorption,member_11-0_absorption,member_7-1_absorption,member_12-0_absorption,member_10_absorption,member_5_absorption,member_15_absorption,member_14_absorption
"R1.37,R2.41,R3.89,P1.62-3-1",TFORF0230-ZNF595,1,7-0,5467.0,3244,0.019206146,0.027333329,0.027333329,train,Smooth muscle cells,others,smooth muscle,4.0,others,0.0,TFORF0230-ZNF595,6,15,,0.5928982406061137,0.061000136845577986,0.08404043521776498,0.10080307362781056,0.0919491506987471,0.10520860781277934,0.13995854702221278,0.13473498057630004,0.16787787069477633,0.11442738503905668
"R1.56,R2.88,R3.38,P1.62-3-1",TFORF0230-ZNF595,1,5,3807.0,2519,0.013921723,0.15002123,0.15002123,train,Stromal cells,others,stromal,23.0,others,0.0,TFORF0230-ZNF595,6,5,,0.542346910160849,0.056154092910333804,0.07824585124659947,0.09519160395317569,0.0711461588060513,0.09274589504343174,0.13170876368207543,0.22118226902408805,0.14044314529544796,0.11318321212368997
"R1.02,R2.57,R3.47,P1.30-1-1",TFORF0440-ZFY,1,4,1383.0,1151,0.018076645,0.06962148,0.06962148,train,Retinal progenitors and Muller glia,others,others,6.0,others,0.0,TFORF0440-ZFY,1,15,,0.5182751800561547,0.056918900080024794,0.07705761011606416,0.09485256391987677,0.07257825856545715,0.09322791291164344,0.22076430616856793,0.12233285102786962,0.14451315791565525,0.11775433840373452
"R1.72,R2.15,R3.40,P1.48-3-4-0",TFORF0783-SEBOX,0,3,3198.0,2259,0.020950595,0.060925815,0.060925815,train,Intestinal epithelial cells,others,intestinal epithelial,10.0,others,0.0,TFORF0783-SEBOX,33,14,,0.5917144870243618,0.0611625547505218,0.08366719990530454,0.10366770791377171,0.07601640470303068,0.10037084855234078,0.1468246525980932,0.13177157254349722,0.1532438704725709,0.14327591698993944
"R1.77,R2.93,R3.43,P1.23-0-2-0",TFORF0783-SEBOX,0,1,2680.0,1909,0.026865672,0.019355208,0.019355208,train,ENS neurons,others,ENS neurons,10.0,others,0.0,TFORF0783-SEBOX,33,15,,0.6841325036642609,0.060533110873129875,0.08529992411031807,0.10491839315744374,0.07932217220560543,0.10079673438018065,0.14583144910375237,0.1325279979705132,0.16703951249133298,0.12373096100112374
"R1.87,R2.76,R3.20,P1.62-1-1-0",TFORF0783-SEBOX,0,7-1,3177.0,2232,0.020459553,0.3465009,0.3465009,train,Vascular endothelial cells,others,vascular endothelial,8.0,others,0.0,TFORF0783-SEBOX,33,7-1,7-1,0.8970265779919232,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"R1.50,R2.66,R3.35,P1.47-3-2-0",TFORF0783-SEBOX,0,11-0,6199.0,3583,0.022100339,0.11923499,0.11923499,train,STC2_TLX1 positive cells,others,others,9.0,others,0.0,TFORF0783-SEBOX,33,15,,0.30137945432735297,0.06621659853712765,0.09315012089713445,0.18765267317891923,0.06030999134153863,0.17453817379388029,0.10792329197536092,0.10069773378002496,0.11573422720703333,0.09377731871680564
"R1.30,R2.96,R3.01,P1.38-0-0",TFORF0783-SEBOX,0,3,3065.0,2072,0.023491027,0.06562035,0.06562035,train,Squamous epithelial cells,others,squamous epithelial,23.0,others,0.0,TFORF0783-SEBOX,33,14,,0.5879288103039457,0.06124613776171577,0.08365482579317034,0.10375998658125647,0.07590455716775446,0.10044405405353145,0.14626588537922774,0.13170771328759845,0.15287944376026463,0.14413810754980053
"R1.31,R2.53,R3.88,P1.30-0-0",TFORF0783-SEBOX,0,0,2813.0,1980,0.02097405,0.048436444,0.048436444,train,Squamous epithelial cells,others,squamous epithelial,5.0,others,0.0,TFORF0783-SEBOX,33,15,,0.5637471372457558,0.06121681836631143,0.08378513846443383,0.10361656170929352,0.07621591468428647,0.10036658959366983,0.14728146610459097,0.13208688273613806,0.15375569538519956,0.1416753569063615
"R1.92,R2.12,R3.21,P1.07-2-1-0",TFORF0783-SEBOX,0,0,3639.0,2481,0.030502886,0.032071266,0.032071266,test,Squamous epithelial cells,others,squamous epithelial,9.0,others,0.0,TFORF0783-SEBOX,33,15,,0.5352259535382148,0.06291175474014683,0.08541441535029307,0.11339184654850176,0.07708756443740206,0.1029267152362921,0.14229543924400886,0.13395254197006823,0.15167009737891826,0.13035012247938893
