,Pearson_r
CYCS,0.8708977596721317
CYP11A1,0.746486675254621
CYP19A1,0.8685161178167923
CYP1B1,0.8397170281015798
CYP26A1,0.882113329867551
CYP27A1,0.8719573423567301
CYP27C1,0.8944277485133093
CYP2C18,0.8981083185024906
CYP2C19,0.8511073305562692
CYP2C8,0.8124799304219211
CYP2J2,0.8699956919603316
CYP39A1,0.9059260241458243
CYP3A5,0.9128370560535648
CYP4Z2P,0.9084592636108323
CYP51A1-AS1,0.8526443879414991
CYP7B1,0.84667698282729
CYR61,0.8545570815211162
D21S2088E,0.8437201313156022
DAB2,0.8157173897908968
DACH1,0.8853565007365023
DACH2,0.8659134532820689
DACT1,0.8460736525483459
DACT2,0.852243175686307
DACT3,0.862351960911592
DBI,0.7886202448438759
DBN1,0.8702271649942794
DCBLD1,0.8919432626204347
DCBLD2,0.8717253782080802
DCC,0.8712319063239756
DCDC1,0.9004726306408176
DCDC2,0.8514299446212623
DCDC5,0.9349592977109097
DCHS2,0.8536754033842107
DCLK1,0.8724555111259853
DCLK2,0.8572652510612486
DCLK3,0.8455296754238747
DDAH1,0.8540293527595489
DDC,0.8945612171547546
DDHD1,0.7013652046186061
DDIT4L,0.8897158734819828
DDR2,0.8369269295922861
DDX10,0.7909003652652717
DDX18,0.7949242962479269
DDX60,0.8683476596715889
DEC1,0.8351930816369524
DEFB1,0.8653623848012478
